fast,slow,w/l
5,25,-6364
5,27,-6364
5,29,-5709
5,31,-3175
5,33,3291
5,35,2557
5,37,2557
5,39,1975
5,41,1975
5,43,-1453
5,45,14
5,47,14
5,49,3604
5,51,3604
5,53,1953
5,55,-1079
5,57,1898
5,59,1898
7,25,422
7,27,-4313
7,29,1509
7,31,4080
7,33,4080
7,35,586
7,37,14
7,39,14
7,41,-4682
7,43,-4682
7,45,-1247
7,47,-1247
7,49,2110
7,51,2110
7,53,3363
7,55,6108
7,57,6108
7,59,6108
9,25,5775
9,27,5775
9,29,586
9,31,915
9,33,-4136
9,35,-4682
9,37,-4682
9,39,-2155
9,41,-955
9,43,2599
9,45,6108
9,47,6108
9,49,6108
9,51,6108
9,53,5731
9,55,3433
9,57,3433
9,59,3433
11,25,2563
11,27,-5127
11,29,-4136
11,31,-1617
11,33,-2155
11,35,-955
11,37,-955
11,39,2599
11,41,6108
11,43,3433
11,45,3433
11,47,3433
11,49,3433
11,51,3433
11,53,2326
11,55,2326
11,57,2326
11,59,2326
13,25,-2593
13,27,-1617
13,29,-389
13,31,-955
13,33,-955
13,35,-955
13,37,3433
13,39,3433
13,41,3809
13,43,3809
13,45,2697
13,47,2697
13,49,2326
13,51,2326
13,53,867
13,55,4594
13,57,2030
13,59,2030
15,25,-2606
15,27,-389
15,29,-955
15,31,-3116
15,33,3809
15,35,3809
15,37,3433
15,39,2326
15,41,2326
15,43,1495
15,45,48
15,47,3745
15,49,3745
15,51,231
15,53,231
15,55,231
15,57,3126
15,59,1466
17,25,-389
17,27,1273
17,29,3809
17,31,3809
17,33,3433
17,35,1495
17,37,1495
17,39,-913
17,41,2735
17,43,2735
17,45,231
17,47,231
17,49,231
17,51,2735
17,53,1466
17,55,1466
17,57,1243
17,59,1754
19,25,-3111
19,27,3809
19,29,3433
19,31,1495
19,33,1495
19,35,-913
19,37,2735
19,39,231
19,41,231
19,43,-2479
19,45,337
19,47,-35
19,49,-1268
19,51,-782
19,53,-986
19,55,-986
19,57,-623
19,59,-623
21,25,3433
21,27,1495
21,29,1495
21,31,-913
21,33,2735
21,35,231
21,37,-2479
21,39,-2479
21,41,1090
21,43,-1268
21,45,-782
21,47,-986
21,49,-986
21,51,24
21,53,-623
21,55,-623
21,57,-5147
21,59,-5612
23,25,1495
23,27,522
23,29,-913
23,31,2735
23,33,-2479
23,35,-2479
23,37,337
23,39,457
23,41,-782
23,43,-1753
23,45,-1753
23,47,-751
23,49,-1392
23,51,-1392
23,53,-6345
23,55,-6345
23,57,-6345
23,59,-6345
