long,short,w/l
30,5,2439
32,5,2359
34,5,1543
36,5,2626
38,5,4098
40,5,2753
42,5,-3195
44,5,-3195
46,5,-1273
48,5,-913
50,5,-2328
52,5,-2976
54,5,-2923
56,5,-6275
58,5,-6275
60,5,-6275
62,5,-6451
64,5,-6982
66,5,-9405
68,5,-2942
70,5,-3295
72,5,-1908
74,5,-5618
76,5,-2361
78,5,7317
80,5,4870
82,5,1285
84,5,922
86,5,922
88,5,922
90,5,-1971
92,5,-1971
94,5,-4869
96,5,-2964
98,5,337
30,7,2352
32,7,-4957
34,7,817
36,7,3763
38,7,825
40,7,1236
42,7,2783
44,7,2783
46,7,3867
48,7,-625
50,7,-3195
52,7,-4127
54,7,-6718
56,7,-6718
58,7,-7443
60,7,-7443
62,7,-6662
64,7,-7663
66,7,-3846
68,7,-3846
70,7,-4330
72,7,-4330
74,7,-1448
76,7,-677
78,7,-6709
80,7,-3284
82,7,2860
84,7,2860
86,7,-93
88,7,-93
90,7,-93
92,7,-2493
94,7,-25
96,7,-25
98,7,-25
30,9,590
32,9,4047
34,9,8307
36,9,6491
38,9,3363
40,9,5731
42,9,3567
44,9,3940
46,9,-483
48,9,-1536
50,9,-6414
52,9,-9819
54,9,-9819
56,9,-7945
58,9,-4555
60,9,-6405
62,9,-6405
64,9,-4426
66,9,-2252
68,9,-2252
70,9,-2731
72,9,-5105
74,9,-1820
76,9,-1820
78,9,-1068
80,9,-1260
82,9,903
84,9,-576
86,9,1758
88,9,3737
90,9,2250
92,9,2617
94,9,2617
96,9,-1832
98,9,-1832
30,11,2017
32,11,6491
34,11,3363
36,11,2993
38,11,8126
40,11,2902
42,11,-1200
44,11,-1559
46,11,-199
48,11,-199
50,11,1260
52,11,2064
54,11,-2733
56,11,-4443
58,11,-5640
60,11,-5640
62,11,-2907
64,11,-5870
66,11,-5870
68,11,-1886
70,11,-1886
72,11,-1886
74,11,-1646
76,11,-1646
78,11,307
80,11,-810
82,11,-614
84,11,-4376
86,11,-7485
88,11,-4916
90,11,-4916
92,11,-2983
94,11,-2983
96,11,-2983
98,11,-2714
30,13,-2813
32,13,6108
34,13,5731
36,13,8126
38,13,2697
40,13,6821
42,13,5302
44,13,789
46,13,1414
48,13,-6885
50,13,-4938
52,13,-3423
54,13,-3423
56,13,-2366
58,13,-1646
60,13,-2417
62,13,-2417
64,13,-3506
66,13,-3506
68,13,-3506
70,13,-3506
72,13,-3506
74,13,-3941
76,13,-3455
78,13,-3455
80,13,-3455
82,13,-2247
84,13,-2247
86,13,382
88,13,-6345
90,13,-7843
92,13,-7843
94,13,-7843
96,13,-7843
98,13,-6258
30,15,4761
32,15,5555
34,15,7354
36,15,2697
38,15,6105
40,15,4594
42,15,985
44,15,4495
46,15,1173
48,15,881
50,15,1133
52,15,924
54,15,-2130
56,15,-2731
58,15,-3506
60,15,-4695
62,15,-4695
64,15,-3941
66,15,-3454
68,15,-3454
70,15,-3454
72,15,-4901
74,15,-4901
76,15,-4901
78,15,-2342
80,15,-2342
82,15,-3160
84,15,-3160
86,15,-3296
88,15,-7695
90,15,-7695
92,15,-5871
94,15,-5871
96,15,-8096
98,15,-7843
30,17,8196
32,17,3712
34,17,4080
36,17,4594
38,17,-1633
40,17,-1136
42,17,735
44,17,680
46,17,-2822
48,17,-5039
50,17,-6891
52,17,-7366
54,17,-6337
56,17,-2614
58,17,-2045
60,17,-2045
62,17,-2045
64,17,588
66,17,588
68,17,-1050
70,17,-1050
72,17,-1050
74,17,-1050
76,17,-2471
78,17,-3098
80,17,-3098
82,17,-4549
84,17,-8895
86,17,-8895
88,17,-8895
90,17,-10318
92,17,-10318
94,17,-10318
96,17,-10318
98,17,-10318
30,19,-380
32,19,-1825
34,19,3249
36,19,-4234
38,19,3633
40,19,1629
42,19,-860
44,19,-810
46,19,-4971
48,19,-7847
50,19,-8570
52,19,-7450
54,19,-6074
56,19,-2793
58,19,1019
60,19,-606
62,19,-606
64,19,-606
66,19,-5343
68,19,-5343
70,19,-5343
72,19,-9656
74,19,-7834
76,19,-5748
78,19,-5748
80,19,-6153
82,19,-7506
84,19,-9676
86,19,-10318
88,19,-10318
90,19,-11033
92,19,-11033
94,19,-9502
96,19,-9502
98,19,-9502
